trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,
32,0.5,1,123.0864626,123.5865505,123.5865505,123.5865505,123.8864014,left,-1,1,1,0.6424035,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
33,0.5,1,124.2531616,124.7532977,124.7532977,124.7532977,125.0541528,right,1,1,1,0.5334917,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
34,0.5,1,125.3043907,125.8031871,125.8031871,125.8198396,126.1048176,left,-1,1,1,0.5188189,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
35,0.5,1,126.3543189,126.8360805,126.8360805,126.8696081,127.1361653,right,1,1,1,0.5478594,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
36,0.5,1,127.4029583,127.8863339,127.8863339,127.9029053,128.1864756,right,1,1,1,0.5694275,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
37,0.5,1,128.4862935,128.9698196,128.9698196,128.9867785,129.2700637,left,-1,1,1,0.5726475,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
38,0.5,1,129.5703966,130.0712384,130.0712384,130.0712384,130.3754199,right,1,1,1,0.5453836,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
39,0.5,1,130.6372405,131.1366657,131.1366657,131.1366657,131.4365091,right,1,1,1,0.6597812,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
40,0.5,1,131.8206543,132.3036693,132.3036693,132.3208252,132.6036231,right,1,1,1,0.6090517,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
41,0.5,1,132.9370333,133.4372806,133.4372806,133.4372806,133.7367545,left,-1,1,1,0.6225098,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
42,0.5,1,134.0883699,134.5711626,134.5711626,134.5869258,134.8874667,right,1,1,1,0.6799028,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
43,0.5,1,135.2701634,135.7699336,135.7699336,135.7699336,136.0702957,right,1,1,1,0.5925653,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
44,0.5,1,136.3864808,136.8702419,136.8702419,136.8870059,137.170123,right,1,1,1,0.587459,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
45,0.5,1,137.4866656,137.9700812,137.9700812,137.9876019,138.2699946,left,-1,1,1,0.848876,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
46,0.5,1,138.8363693,139.3210924,139.3210924,139.3369791,139.6370408,right,1,1,1,0.5001519,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
47,0.5,1,139.853569,140.3369807,140.3369807,140.3539782,140.6371278,left,-1,1,1,0.5426941,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
48,0.5,1,140.9031211,141.4037597,141.4037597,141.4037597,141.7051048,left,-1,1,1,0.5535443,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
49,0.5,1,141.9867856,142.4699531,142.4699531,142.4866199,142.7700308,left,-1,1,1,0.6001187,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
50,0.5,1,143.0863037,143.5866055,143.5866055,143.5866055,143.8868808,left,-1,1,1,0.6547624,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
51,0.5,1,144.2698747,144.7531025,144.7531025,144.7698064,145.0531152,left,-1,1,1,0.5955489,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
52,0.5,1,145.3701398,145.8701173,145.8701173,145.8701173,146.1703635,left,-1,1,1,0.7123915,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
53,0.5,1,146.603079,147.0865935,147.0865935,147.1034653,147.3866984,left,-1,1,1,0.7955978,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
54,0.5,1,147.9035194,148.4032474,148.4032474,148.4032474,148.7035706,left,-1,1,1,0.5444586,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
55,0.5,1,148.9697018,149.4532723,149.4532723,149.4700485,149.753271,right,1,1,1,0.519509,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
56,0.5,1,150.0032903,150.5032414,150.5032414,150.5032414,150.8032907,right,1,1,1,0.5970134,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
57,0.5,1,151.1197246,151.6053836,151.6053836,151.619842,151.9199766,left,-1,0,0,0.6957431,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
58,0.5,1.5,152.320418,152.8200219,152.8200219,152.8200219,153.1202093,right,1.5,1,1,0.5878172,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
59,0.5,1.5,153.4366787,153.9199034,153.9199034,153.9365833,154.2198029,left,-1.5,1,1,0.5520353,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
60,0.5,1,154.5030806,155.003378,155.003378,155.003378,155.3031208,right,1,1,1,0.5883547,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
61,0.5,1,155.6200358,156.1036147,156.1036147,156.1199891,156.4033238,right,1,1,1,0.5429347,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
62,0.5,1,156.6699151,157.1534098,157.1534098,157.1698283,157.4533498,right,1,1,1,0.558402,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
63,0.5,1,157.7369003,158.2198899,158.2198899,158.2369,158.520423,left,-1,1,1,0.5679707,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
64,0.5,1,158.8202337,159.3200526,159.3200526,159.3200526,159.6197075,right,1,1,1,0.4818113,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
65,0.5,1,159.8197916,160.3200333,160.3200333,160.3200333,160.620027,left,-1,1,1,0.4993981,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
66,0.5,1,160.8367149,161.3367324,161.3367324,161.3367324,161.6364644,right,1,1,1,0.5373825,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
67,0.5,1,161.9034162,162.4033136,162.4033136,162.4033136,162.7032688,right,1,1,1,0.5522634,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
68,0.5,1,162.9865519,163.4702073,163.4702073,163.4866824,163.770128,left,-1,1,1,0.4964148,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
69,0.5,1,163.9868987,164.4867999,164.4867999,164.4867999,164.7870239,right,1,1,1,0.5080177,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
70,0.5,1,165.0200105,165.5199614,165.5199614,165.5199614,165.8198763,left,-1,1,1,0.5351536,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
71,0.5,1,166.0869391,166.5866624,166.5866624,166.5866624,166.8868761,right,1,1,1,0.5411301,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
72,0.5,1,167.1534679,167.6366847,167.6366847,167.6535695,167.9366867,right,1,1,1,0.5994266,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
73,0.5,1,168.2533847,168.7533516,168.7533516,168.7533516,169.0537062,left,-1,1,1,0.5624233,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
74,0.5,1,169.3368585,169.8200516,169.8200516,169.8366892,170.1200438,left,-1,1,1,0.599475,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
75,0.5,1,170.436659,170.9368236,170.9368236,170.9368236,171.236712,left,-1,1,1,0.659106,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
76,0.5,1,171.6200568,172.1199699,172.1199699,172.1199699,172.4200345,right,1,1,1,0.5053684,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
77,0.5,1,172.6534413,173.1368111,173.1368111,173.1532634,173.4364737,right,1,1,1,0.5328137,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
78,0.5,1,173.6870365,174.1869414,174.1869414,174.1869414,174.4868935,right,1,1,1,0.5437197,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
79,0.5,1,174.752866,175.2535399,175.2535399,175.2535399,175.5532829,right,1,1,1,0.6288084,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
80,0.5,1,175.9037777,176.3867362,176.3867362,176.4033436,176.6872021,left,-1,1,1,0.5471086,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
81,0.5,1,176.9533045,177.4534172,177.4534172,177.4534172,177.7537003,right,1,1,1,0.5797425,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
82,0.5,1,178.0534735,178.5533368,178.5533368,178.5533368,178.8534108,left,-1,1,1,0.5857273,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
83,0.5,1,179.1700797,179.6536048,179.6536048,179.6701232,179.9533048,right,1,1,1,1.164618,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
84,0.5,1,180.8367404,181.3368222,181.3368222,181.3368222,181.6368402,right,1,1,1,0.6353363,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
85,0.5,1,182.0032566,182.5037237,182.5037237,182.5037237,182.8033358,right,1,1,1,0.5611632,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
86,0.5,1,183.0867753,183.5701064,183.5701064,183.586869,183.8702068,right,1,1,1,0.6159966,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
87,0.5,1,184.203496,184.7034351,184.7034351,184.7034351,185.0035029,right,1,1,1,0.6012674,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
88,0.5,1,185.3367432,185.820211,185.820211,185.8369845,186.1201689,left,-1,1,1,0.6337624,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
89,0.5,1,186.4701635,186.9701819,186.9701819,186.9701819,187.2705247,left,-1,1,1,0.6175932,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
90,0.5,1,187.6202425,188.1201245,188.1201245,188.1201245,188.419981,left,-1,1,1,0.5645908,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
91,0.5,1,188.7048021,189.203541,189.203541,189.2204071,189.5038575,right,1,0,0,2.1816876,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
92,0.5,1.5,191.4035929,191.9036915,191.9036915,191.9036915,192.2037499,left,-1.5,1,1,0.6551697,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
93,0.5,1.5,192.5868423,193.0870343,193.0870343,193.0870343,193.3871121,left,-1.5,1,1,0.5955962,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
94,0.5,1,193.7034439,194.1869034,194.1869034,194.2038364,194.4871286,left,-1,1,1,0.5637677,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
95,0.5,1,194.7699894,195.2536831,195.2536831,195.2701399,195.5536875,right,1,1,1,0.6759028,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
96,0.5,1,195.9535838,196.4532978,196.4532978,196.4532978,196.7535958,left,-1,1,1,0.6567615,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
