trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,
142,0.5,1,274.537573,275.0375408,275.0375408,275.0375408,275.3375089,left,-1,1,1,0.6170312,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
143,0.5,1,275.6748666,276.17075,276.17075,276.187156,276.4707882,right,1,1,1,0.7190993,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
144,0.5,1,276.9206529,277.4039611,277.4039611,277.4206885,277.7041224,left,-1,1,1,0.6186265,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
145,0.5,1,278.0541741,278.5542707,278.5542707,278.5542707,278.8545335,right,1,1,1,0.5601956,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
146,0.5,1,279.1372896,279.6207667,279.6207667,279.6373363,279.9208017,right,1,1,1,0.5305243,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
147,0.5,1,280.1702451,280.6541524,280.6541524,280.6707473,280.9542251,right,1,1,1,0.6079515,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
148,0.5,1,281.2875269,281.7726895,281.7726895,281.7874389,282.0873478,right,1,1,1,0.5075953,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
149,0.5,1,282.3042993,282.7875776,282.7875776,282.8040537,283.0878235,right,1,1,1,0.5675564,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
150,0.5,1,283.3876737,283.8710708,283.8710708,283.8876327,284.170687,left,-1,1,1,0.6822933,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
151,0.5,1,284.5707463,285.0707988,285.0707988,285.0707988,285.3706704,left,-1,1,1,0.5320179,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
152,0.5,1,285.6209005,286.1208862,286.1208862,286.1208862,286.4208736,left,-1,1,1,0.5168053,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
153,0.5,1,286.6541161,287.154408,287.154408,287.154408,287.4539931,right,1,0,0,5.0642249,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
154,0.5,1.5,292.23737,292.7211875,292.7211875,292.7373132,293.0206138,right,1.5,1,1,0.480132,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
155,0.5,1.5,293.2211744,293.7210427,293.7210427,293.7210427,294.0209292,left,-1.5,1,1,0.5590524,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
156,0.5,1,294.304101,294.7874016,294.7874016,294.804266,295.087779,left,-1,1,1,0.6523303,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
157,0.5,1,295.4707358,295.9539729,295.9539729,295.9709182,296.254071,right,1,1,1,0.4692473,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
158,0.5,1,296.4544486,296.9378556,296.9378556,296.9541411,297.23772,right,1,1,1,0.6776231,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
159,0.5,1,297.6373757,298.1208845,298.1208845,298.1378746,298.4207647,right,1,1,1,0.8667193,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
160,0.5,1,299.0042395,299.5043511,299.5043511,299.5043511,299.8041544,left,-1,1,1,1.0017203,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
161,0.5,1,300.5377703,301.0206491,301.0206491,301.0374981,301.3207583,right,1,1,1,0.7542596,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
162,0.5,1,301.8042463,302.3042677,302.3042677,302.3042677,302.6039643,left,-1,1,1,0.6512743,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
163,0.5,1,302.9876523,303.4875579,303.4875579,303.4875579,303.7875711,right,1,1,1,0.4684522,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
164,0.5,1,303.987552,304.4875859,304.4875859,304.4875859,304.7876123,right,1,1,1,0.6476427,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
165,0.5,1,305.1542531,305.6545744,305.6545744,305.6545744,305.9541636,left,-1,1,1,0.5739223,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
166,0.5,1,306.2540466,306.75421,306.75421,306.75421,307.0542071,left,-1,1,1,0.663042,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
167,0.5,1,307.4374511,307.9377722,307.9377722,307.9377722,308.2380264,left,-1,1,1,0.6862168,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
168,0.5,1,308.6543704,309.1375361,309.1375361,309.1542815,309.437603,left,-1,1,1,0.6969648,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
169,0.5,1,309.8540304,310.3542279,310.3542279,310.3542279,310.6545099,left,-1,1,1,0.6676142,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
170,0.5,1,311.0542109,311.537725,311.537725,311.5544055,311.8377174,right,1,1,1,0.9324859,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
171,0.5,1,312.4874157,312.9875596,312.9875596,312.9875596,313.2885528,left,-1,1,1,0.4766595,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
172,0.5,1,313.4892984,313.987786,313.987786,314.0045391,314.2875954,left,-1,1,1,0.5851462,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
173,0.5,1,314.6041966,315.1044974,315.1044974,315.1044974,315.4042449,left,-1,1,1,0.6077622,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
174,0.5,1,315.737446,316.2208691,316.2208691,316.2378637,316.520867,right,1,1,1,0.61052,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
175,0.5,1,316.8541937,317.3377371,317.3377371,317.3543299,317.6376763,left,-1,1,1,0.7276377,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
176,0.5,1,318.0874597,318.571021,318.571021,318.5876446,318.8714087,left,-1,1,1,0.4634686,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
177,0.5,1,319.0546112,319.5543606,319.5543606,319.5543606,319.8543735,left,-1,1,1,0.5147077,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
178,0.5,1,320.0875592,320.5875226,320.5875226,320.5875226,320.8879306,left,-1,1,1,0.4563232,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
179,0.5,1,321.0714373,321.5710971,321.5710971,321.5710971,321.8714806,left,-1,1,1,0.4798788,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
180,0.5,1,322.0748917,322.5543744,322.5543744,322.5879097,322.8543327,right,1,1,1,0.7522133,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
181,0.5,1,323.3376122,323.8212375,323.8212375,323.8386009,324.1210632,right,1,1,1,0.6977576,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
182,0.5,1,324.5375689,325.0377531,325.0377531,325.0377531,325.3380731,left,-1,1,1,0.6121215,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
183,0.5,1,325.6709202,326.1544466,326.1544466,326.1714009,326.4545223,right,1,0,0,2.4775575,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
184,0.5,1.5,328.6543697,329.1547478,329.1547478,329.1547478,329.4543629,left,-1.5,1,1,0.5882421,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
185,0.5,1.5,329.7713243,330.2543029,330.2543029,330.2710328,330.5545861,right,1.5,1,1,0.6270698,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
186,0.5,1,330.9044543,331.3877504,331.3877504,331.4047124,331.6875372,right,1,1,1,1.6842206,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
187,0.5,1,333.1048079,333.6044143,333.6044143,333.6044143,333.9042057,left,-1,1,1,0.5146664,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
188,0.5,1,334.1377889,334.6378411,334.6378411,334.6378411,334.9378864,right,1,1,1,2.3441991,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
189,0.5,1,337.0044052,337.5043456,337.5043456,337.5043456,337.8042951,left,-1,1,1,0.657674,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
190,0.5,1,338.187828,338.6711123,338.6711123,338.6876655,338.9712043,right,1,1,1,0.5852767,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
191,0.5,1,339.2877469,339.7876503,339.7876503,339.7876503,340.0879022,right,1,1,1,0.7703415,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
192,0.5,1,340.587634,341.0877272,341.0877272,341.0877272,341.3878913,left,-1,1,1,0.5676223,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
193,0.5,1,341.6876568,342.1711411,342.1711411,342.1877794,342.4710946,right,1,1,1,1.3225276,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
194,0.5,1,343.5212296,344.0213493,344.0213493,344.0213493,344.320978,right,1,1,1,0.556141,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
195,0.5,1,344.6043486,345.0878327,345.0878327,345.1045527,345.3878876,left,-1,0,0,1.3329754,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
196,0.5,1.5,346.4384389,346.9377166,346.9377166,346.9377166,347.2377677,right,1.5,1,1,0.5766908,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
197,0.5,1.5,347.5378549,348.037987,348.037987,348.037987,348.3380994,right,1.5,1,1,0.4936209,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
198,0.5,1,348.5545144,349.0546177,349.0546177,349.0546177,349.3544704,right,1,1,1,0.4359066,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
199,0.5,1,349.5209747,350.0045597,350.0045597,350.0214001,350.3047801,right,1,1,1,0.4590075,482354,1,2023-09-05_09h29.43.066,adaptive_staircase,2023.1.3,59.7282722,,
